,researcher_id,document-count,eid,orcid,name,subject-area
1516,55087985800,3,9-s2.0-55087985800,,García Sánchez Juan Antonio,"['Engineering (all)', 'Energy (all)', 'Environmental Science (all)']"
1517,55092424400,18,9-s2.0-55092424400,,Barra Enrique,"['Computer Science (all)', 'Social Sciences (all)', 'Engineering (all)']"
1518,55115744400,3,9-s2.0-55115744400,,Aldeanueva Carlos Mataix,"['Business, Management and Accounting (all)', 'Engineering (all)', 'Decision Sciences (all)']"
1519,55115800900,2,9-s2.0-55115800900,,García Merayo Félix,[]
1520,55115826800,5,9-s2.0-55115826800,,Nuchera Antonio Hidalgo,[]
1521,55118278200,2,9-s2.0-55118278200,,Díaz Martín,[]
1522,55132692200,12,9-s2.0-55132692200,0000-0003-0280-3440,Chavarriás Miguel,"['Engineering (all)', 'Computer Science (all)', 'Physics and Astronomy (all)']"
1523,55142545400,13,9-s2.0-55142545400,,Bustamante Rosa,"['Engineering (all)', 'Materials Science (all)', 'Social Sciences (all)']"
1524,55144166900,11,9-s2.0-55144166900,0000-0003-4065-7827,Rubio-Cidre Gorka,"['Physics and Astronomy (all)', 'Computer Science (all)', 'Engineering (all)']"
1525,55145288100,14,9-s2.0-55145288100,,Herrero Pilar,"['Computer Science (all)', 'Mathematics (all)']"
1526,55154654600,4,9-s2.0-55154654600,0000-0003-1206-6536,Torres Yolanda,"['Earth and Planetary Sciences (all)', 'Engineering (all)']"
1527,55160667900,5,9-s2.0-55160667900,,Ibáñez Luis F.,"['Physics and Astronomy (all)', 'Mathematics (all)', 'Engineering (all)']"
1528,55169251400,1,9-s2.0-55169251400,,Cobo José R.,[]
1529,55171738800,131,9-s2.0-55171738800,,Maojo Víctor,"['Medicine (all)', 'Computer Science (all)', 'Health Professions  (all)']"
1530,55173603700,9,9-s2.0-55173603700,0000-0002-1453-7883,Rodriguez-Ubinas E.,"['Engineering (all)', 'Environmental Science (all)']"
1531,55173808000,1,9-s2.0-55173808000,,Quilón Isabel Rodríguez,[]
1532,55182695200,33,9-s2.0-55182695200,,Garijo Mercedes,"['Computer Science (all)', 'Engineering (all)', 'Mathematics (all)']"
1533,55186413400,4,9-s2.0-55186413400,,Prieto Rosa Isabel,"['Biochemistry, Genetics and Molecular Biology (all)', 'Immunology and Microbiology (all)', 'Medicine (all)']"
1534,55191363100,1,9-s2.0-55191363100,,Lasprilla Sury Bravo,"['Mathematics (all)', 'Computer Science (all)']"
1535,55193107500,2,9-s2.0-55193107500,,Blázquez V.,"['Materials Science (all)', 'Chemistry (all)', 'Physics and Astronomy (all)']"
1536,55193549600,17,9-s2.0-55193549600,,Cercós-Pita José Luis,"['Engineering (all)', 'Physics and Astronomy (all)', 'Computer Science (all)']"
1537,55193783800,20,9-s2.0-55193783800,0000-0002-5725-6272,Castedo Ricardo,"['Earth and Planetary Sciences (all)', 'Engineering (all)', 'Mathematics (all)']"
1538,55194351300,8,9-s2.0-55194351300,,García-Abril A.,"['Environmental Science (all)', 'Agricultural and Biological Sciences (all)', 'Computer Science (all)']"
1539,55194654300,19,9-s2.0-55194654300,,Sordo-Ward Álvaro,"['Environmental Science (all)', 'Agricultural and Biological Sciences (all)', 'Earth and Planetary Sciences (all)']"
1540,55195891100,17,9-s2.0-55195891100,,Šviković Vladimir,"['Engineering (all)', 'Energy (all)', 'Mathematics (all)']"
1541,55196473200,2,9-s2.0-55196473200,,Vilardell Manuel Juliá,"['Engineering (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Medicine (all)']"
1542,55199024700,9,9-s2.0-55199024700,,Ocaña Rosa,"['Engineering (all)', 'Materials Science (all)', 'Physics and Astronomy (all)']"
1543,55199134600,6,9-s2.0-55199134600,,Moreu Jaime,"['Engineering (all)', 'Energy (all)', 'Computer Science (all)']"
1544,55199165400,2,9-s2.0-55199165400,,Recio M. M.,"['Engineering (all)', 'Physics and Astronomy (all)']"
1545,55199168500,2,9-s2.0-55199168500,,Cercós José Luis,"['Engineering (all)', 'Physics and Astronomy (all)', 'Environmental Science (all)']"
1546,55200515900,5,9-s2.0-55200515900,0000-0002-3487-9362,Villena Carlos,"['Materials Science (all)', 'Chemistry (all)', 'Physics and Astronomy (all)']"
1547,55203078200,24,9-s2.0-55203078200,,García Ana Belén,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
1548,55207603100,7,9-s2.0-55207603100,,Pérez-Martín María Jesús,"['Engineering (all)', 'Physics and Astronomy (all)', 'Mathematics (all)']"
1549,55215127400,1,9-s2.0-55215127400,,Jabbour C.,[]
1550,55218290500,4,9-s2.0-55218290500,,Pellón Ismael Arinas,"['Social Sciences (all)', 'Arts and Humanities (all)', 'Psychology (all)']"
1551,55221755400,4,9-s2.0-55221755400,,González Iván,"['Agricultural and Biological Sciences (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
1552,55221789800,11,9-s2.0-55221789800,,Tanarro Enrique Chacón,"['Engineering (all)', 'Social Sciences (all)', 'Physics and Astronomy (all)']"
1553,55221931500,2,9-s2.0-55221931500,,Villaverde Sergio Ramos,"['Social Sciences (all)', 'Arts and Humanities (all)']"
1554,55222951900,2,9-s2.0-55222951900,,González María M.,"['Computer Science (all)', 'Physics and Astronomy (all)']"
1555,55224019900,4,9-s2.0-55224019900,,Rodríguez-Canosa Gonzalo R.,"['Engineering (all)', 'Earth and Planetary Sciences (all)', 'Computer Science (all)']"
1556,55224035500,23,9-s2.0-55224035500,,Pérez-Tejero Javier,"['Psychology (all)', 'Social Sciences (all)', 'Health Professions  (all)']"
1557,55229963400,4,9-s2.0-55229963400,,Pérez A. S.,"['Materials Science (all)', 'Engineering (all)']"
1558,55231142300,7,9-s2.0-55231142300,,Rejas Juan Gregorio,"['Engineering (all)', 'Computer Science (all)', 'Earth and Planetary Sciences (all)']"
1559,55232372100,3,9-s2.0-55232372100,,Asprilla-Perea Jeferson,"['Agricultural and Biological Sciences (all)', 'Social Sciences (all)']"
1560,55236543100,27,9-s2.0-55236543100,0000-0003-3587-0367,Poveda-Villalón Maŕia,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
1561,55237643000,10,9-s2.0-55237643000,0000-0001-6504-7801,Vázquez-Rodríguez M.,"['Engineering (all)', 'Materials Science (all)', 'Computer Science (all)']"
1562,55240181500,2,9-s2.0-55240181500,,Fernández-Soriano Ana María,"['Computer Science (all)', 'Mathematics (all)']"
1563,55241442900,45,9-s2.0-55241442900,,Gómez Luis Hernández,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)', 'Social Sciences (all)']"
1564,55242114500,3,9-s2.0-55242114500,,Giménez Martín C.,[]
1565,55245936400,2,9-s2.0-55245936400,,Añón Ana,"['Agricultural and Biological Sciences (all)', 'Chemistry (all)', 'Engineering (all)']"
1566,55248339500,2,9-s2.0-55248339500,,Silva Gallino Juan Pedro,"['Computer Science (all)', 'Mathematics (all)']"
1567,55249468200,5,9-s2.0-55249468200,,Ayuso Luis,"['Engineering (all)', 'Energy (all)', 'Environmental Science (all)']"
1568,55249694800,5,9-s2.0-55249694800,,Gascó Guerrero Gabriel,"['Agricultural and Biological Sciences (all)', 'Chemistry (all)']"
1569,55252748800,1,9-s2.0-55252748800,,Sánchez Rubal J.,[]
